Gal,Galaxy Name,m-M,err,distancempc,err,Method,M.,REFCODE,Notes,RA,Dec,GLON,GLAT,Type (RC3),velocitykms
1,UGC 12897,35.42,0.38,121.5,23.1,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:00:37.9,+28:23:04.4,109.6,-33.2,S..2,8882
1,UGC 12897,35.6,0.38,131.6,25,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:00:37.9,+28:23:04.4,109.6,-33.2,S..2,8882
1,UGC 12897,35.74,0.38,140.6,26.7,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:00:37.9,+28:23:04.4,109.6,-33.2,S..2,8882
1,UGC 12897,35.3,0.8,114.9,45.9,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:00:37.9,+28:23:04.4,109.6,-33.2,S..2,8882
2,UGC 12901,34.55,0.38,81.4,15.5,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:00:58.9,+28:54:42.2,109.8,-32.7,SB.3,7076
2,UGC 12901,34.74,0.38,88.7,16.9,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:00:58.9,+28:54:42.2,109.8,-32.7,SB.3,7076
2,UGC 12901,34.76,0.38,89.4,17,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:00:58.9,+28:54:42.2,109.8,-32.7,SB.3,7076
2,UGC 12901,34.81,0.8,91.4,36.6,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:00:58.9,+28:54:42.2,109.8,-32.7,SB.3,7076
3,IC 5376,34.19,0.38,68.8,13.1,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:01:19.8,+34:31:32.6,111.3,-27.2,S..2,5215
3,IC 5376,34.37,0.38,74.9,14.2,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:01:19.8,+34:31:32.6,111.3,-27.2,S..2,5215
3,IC 5376,34.37,0.38,74.9,14.2,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:01:19.8,+34:31:32.6,111.3,-27.2,S..2,5215
3,IC 5376,34.08,0.8,65.4,26.2,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:01:19.8,+34:31:32.6,111.3,-27.2,S..2,5215
4,WLM,25,0.8,1,0.4,Tully est,2,1988NBGC.C....0000T,B,00:01:58.2,-15:27:39.3,75.9,-73.6,IBS9,-61
5,UGC 12920,34.56,0.38,81.7,15.5,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:02:23.1,+27:12:38.4,109.7,-34.4,S..4,7787
5,UGC 12920,34.6,0.38,83.1,15.8,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:02:23.1,+27:12:38.4,109.7,-34.4,S..4,7787
5,UGC 12920,34.77,0.38,89.8,17.1,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:02:23.1,+27:12:38.4,109.7,-34.4,S..4,7787
5,UGC 12920,35.02,0.8,101,40.4,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:02:23.1,+27:12:38.4,109.7,-34.4,S..4,7787
6,ESO 012- G 014,31.84,0.8,23.4,9.4,Tully est,2,1988NBGC.C....0000T,,00:02:44.2,-80:20:47.5,305.5,-36.5,SBS9,1801
7,NGC 7814,30.9,0.8,15.1,6,Tully est,2,1988NBGC.C....0000T,,00:03:14.9,+16:08:43.5,106.4,-45.2,SAS2*/,1204
8,UGC 00014,34.08,0.38,65.6,12.5,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:03:35.0,+23:12:02.8,108.9,-38.4,S?,7455
8,UGC 00014,34.25,0.38,70.7,13.4,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:03:35.0,+23:12:02.8,108.9,-38.4,S?,7455
8,UGC 00014,34.25,0.38,70.9,13.5,"Tully-Fisher, raw",1,1997ApJS..109..333W,"CF, r",00:03:35.0,+23:12:02.8,108.9,-38.4,S?,7455
8,UGC 00014,34.26,0.43,71.1,15.3,"Tully-Fisher, raw",1,1997ApJS..109..333W,"MAT, I",00:03:35.0,+23:12:02.8,108.9,-38.4,S?,7455
8,UGC 00014,34.3,0.38,72.5,13.8,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:03:35.0,+23:12:02.8,108.9,-38.4,S?,7455
8,UGC 00014,34.4,0.38,76,14.4,"Tully-Fisher, inv",1,1997ApJS..109..333W,"CF, r",00:03:35.0,+23:12:02.8,108.9,-38.4,S?,7455
8,UGC 00014,34.46,0.38,78,14.8,"Tully-Fisher, cor",1,1997ApJS..109..333W,"CF, r",00:03:35.0,+23:12:02.8,108.9,-38.4,S?,7455
8,UGC 00014,34.49,0.43,79,17,"Tully-Fisher, inv",1,1997ApJS..109..333W,"MAT, I",00:03:35.0,+23:12:02.8,108.9,-38.4,S?,7455
8,UGC 00014,34.51,0.43,79.9,17.2,"Tully-Fisher, cor",1,1997ApJS..109..333W,"MAT, I",00:03:35.0,+23:12:02.8,108.9,-38.4,S?,7455
8,UGC 00014,34.91,0.8,95.8,38.3,IRAS,4,1997ApJS..109..333W,"MAT, I",00:03:35.0,+23:12:02.8,108.9,-38.4,S?,7455
8,UGC 00014,34.91,0.8,96,38.4,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:03:35.0,+23:12:02.8,108.9,-38.4,S?,7455
8,UGC 00014,34.92,0.8,96.3,38.5,IRAS,4,1997ApJS..109..333W,"CF, r",00:03:35.0,+23:12:02.8,108.9,-38.4,S?,7455
9,"UGC 00017, DDO 222",30.57,0.4,13,2.6,Tully-Fisher,1,1988NBGC.C....0000T,B,00:03:43.3,+15:13:06.0,106.2,-46.1,S..9*,1026
10,NGC 7817,31.86,0.47,23.5,5.5,"Tully-Fisher, raw",1,1997ApJS..109..333W,"A82, H",00:03:58.9,+20:45:08.4,108.2,-40.8,SA.4*/,2468
10,NGC 7817,31.98,0.47,24.9,5.9,"Tully-Fisher, inv",1,1997ApJS..109..333W,"A82, H",00:03:58.9,+20:45:08.4,108.2,-40.8,SA.4*/,2468
10,NGC 7817,32.2,0.47,27.5,6.5,"Tully-Fisher, cor",1,1997ApJS..109..333W,"A82, H",00:03:58.9,+20:45:08.4,108.2,-40.8,SA.4*/,2468
10,NGC 7817,32.49,0.4,31.5,6.3,Tully-Fisher,1,1988NBGC.C....0000T,B,00:03:58.9,+20:45:08.4,108.2,-40.8,SA.4*/,2468
10,NGC 7817,32.29,0.8,28.7,11.5,IRAS,4,1997ApJS..109..333W,"A82, H",00:03:58.9,+20:45:08.4,108.2,-40.8,SA.4*/,2468
11,ESO 409- G 012,33.91,0.4,60.7,12.1,"D-Sigma, raw",3,1997ApJS..109..333W,"Edat, B",00:04:42.2,-30:29:01.1,12,-79.2,E?,8008
11,ESO 409- G 012,34.25,0.4,70.8,14.2,"D-Sigma, cor",3,1997ApJS..109..333W,"Edat, B",00:04:42.2,-30:29:01.1,12,-79.2,E?,8008
12,UGC 00040,35,0.38,100,19,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:05:48.4,+27:26:57.9,110.7,-34.3,SB?,7704
12,UGC 00040,35.17,0.38,108.3,20.6,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:05:48.4,+27:26:57.9,110.7,-34.3,SB?,7704
12,UGC 00040,35.2,0.38,109.5,20.8,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:05:48.4,+27:26:57.9,110.7,-34.3,SB?,7704
12,UGC 00040,35,0.8,100,40,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:05:48.4,+27:26:57.9,110.7,-34.3,SB?,7704
13,UGC 00041,34.78,0.38,90.5,17.2,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:05:56.1,+22:29:33.3,109.3,-39.2,SB.6*,6760
13,UGC 00041,34.8,0.38,91,17.3,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:05:56.1,+22:29:33.3,109.3,-39.2,SB.6*,6760
13,UGC 00041,34.92,0.38,96.3,18.3,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:05:56.1,+22:29:33.3,109.3,-39.2,SB.6*,6760
13,UGC 00041,34.7,0.8,86.9,34.8,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:05:56.1,+22:29:33.3,109.3,-39.2,SB.6*,6760
14,ESO 293-IG 034,31.31,0.8,18.3,7.3,Tully est,2,1988NBGC.C....0000T,,00:06:19.9,-41:29:59.7,332.8,-72.9,SBS6P/,1507
15,UGC 00050,34.89,0.38,95,18.1,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:06:40.2,+26:09:16.3,110.6,-35.6,S..2,7731
15,UGC 00050,35.06,0.38,102.7,19.5,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:06:40.2,+26:09:16.3,110.6,-35.6,S..2,7731
15,UGC 00050,35.06,0.38,103,19.6,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:06:40.2,+26:09:16.3,110.6,-35.6,S..2,7731
15,UGC 00050,35.01,0.8,100.3,40.1,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:06:40.2,+26:09:16.3,110.6,-35.6,S..2,7731
16,NGC 0001,33.66,0.38,53.9,10.2,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:07:15.8,+27:42:29.1,111.1,-34.1,SAS3*,4718
16,NGC 0001,33.85,0.38,58.8,11.2,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:07:15.8,+27:42:29.1,111.1,-34.1,SAS3*,4718
16,NGC 0001,33.93,0.38,61,11.6,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:07:15.8,+27:42:29.1,111.1,-34.1,SAS3*,4718
16,NGC 0001,33.77,0.8,56.8,22.7,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:07:15.8,+27:42:29.1,111.1,-34.1,SAS3*,4718
17,NGC 0002,34.73,0.4,88.3,17.7,"Tully-Fisher, raw",1,1997ApJS..109..333W,"HMCL, I",00:07:17.1,+27:40:42.1,111.1,-34.2,S..2,7720
17,NGC 0002,34.8,0.38,91.2,17.3,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:07:17.1,+27:40:42.1,111.1,-34.2,S..2,7720
17,NGC 0002,34.92,0.4,96.3,19.3,"Tully-Fisher, inv",1,1997ApJS..109..333W,"HMCL, I",00:07:17.1,+27:40:42.1,111.1,-34.2,S..2,7720
17,NGC 0002,34.94,0.4,97.3,19.5,"Tully-Fisher, cor",1,1997ApJS..109..333W,"HMCL, I",00:07:17.1,+27:40:42.1,111.1,-34.2,S..2,7720
17,NGC 0002,34.97,0.38,98.7,18.8,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:07:17.1,+27:40:42.1,111.1,-34.2,S..2,7720
17,NGC 0002,34.99,0.38,99.4,18.9,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:07:17.1,+27:40:42.1,111.1,-34.2,S..2,7720
17,NGC 0002,35,0.8,100.2,40.1,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:07:17.1,+27:40:42.1,111.1,-34.2,S..2,7720
17,NGC 0002,35,0.8,100.2,40.1,IRAS,4,1997ApJS..109..333W,"HMCL, I",00:07:17.1,+27:40:42.1,111.1,-34.2,S..2,7720
18,NGC 7831,34.02,0.38,63.6,12.1,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:07:19.5,+32:36:33.3,112.3,-29.3,S..3*/,5252
18,NGC 7831,34.22,0.38,69.8,13.3,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:07:19.5,+32:36:33.3,112.3,-29.3,S..3*/,5252
18,NGC 7831,34.24,0.38,70.5,13.4,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:07:19.5,+32:36:33.3,112.3,-29.3,S..3*/,5252
18,NGC 7831,34.1,0.8,66,26.4,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:07:19.5,+32:36:33.3,112.3,-29.3,S..3*/,5252
19,NGC 7836,34.91,0.38,96.1,18.3,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:08:01.6,+33:04:14.8,112.5,-28.9,I?,5087
19,NGC 7836,35.14,0.38,106.7,20.3,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:08:01.6,+33:04:14.8,112.5,-28.9,I?,5087
19,NGC 7836,35.18,0.38,108.9,20.7,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:08:01.6,+33:04:14.8,112.5,-28.9,I?,5087
19,NGC 7836,34,0.8,63.2,25.3,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:08:01.6,+33:04:14.8,112.5,-28.9,I?,5087
20,UGC 00068,34.95,0.38,97.7,18.6,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:08:10.3,+27:00:15.3,111.2,-34.9,SB?,8932
20,UGC 00068,35.13,0.38,106,20.1,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:08:10.3,+27:00:15.3,111.2,-34.9,SB?,8932
20,UGC 00068,35.13,0.38,106.1,20.2,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:08:10.3,+27:00:15.3,111.2,-34.9,SB?,8932
20,UGC 00068,35.32,0.8,115.7,46.3,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:08:10.3,+27:00:15.3,111.2,-34.9,SB?,8932
21,UGC 00069,33.36,0.38,47.1,8.9,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:08:10.9,+27:31:41.3,111.3,-34.4,S..6*,4810
21,UGC 00069,33.38,0.38,47.3,9,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:08:10.9,+27:31:41.3,111.3,-34.4,S..6*,4810
21,UGC 00069,33.73,0.38,55.7,10.6,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:08:10.9,+27:31:41.3,111.3,-34.4,S..6*,4810
21,UGC 00069,33.82,0.8,58.2,23.3,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:08:10.9,+27:31:41.3,111.3,-34.4,S..6*,4810
22,"ESO 349- G 031, Sculptor Dw Irr",26.87,0.8,2.4,1,Tully est,2,1988NBGC.C....0000T,,00:08:13.4,-34:34:42.0,351.5,-78.1,IB.9,195
23,ESO 111- G 014,34.33,0.43,73.3,15.8,"Tully-Fisher, raw",1,1997ApJS..109..333W,"MAT, I",00:08:18.7,-59:30:56.2,312.9,-56.8,SXT6,7686
23,ESO 111- G 014,34.54,0.43,81,17.4,"Tully-Fisher, inv",1,1997ApJS..109..333W,"MAT, I",00:08:18.7,-59:30:56.2,312.9,-56.8,SXT6,7686
23,ESO 111- G 014,34.74,0.43,88.6,19.1,"Tully-Fisher, cor",1,1997ApJS..109..333W,"MAT, I",00:08:18.7,-59:30:56.2,312.9,-56.8,SXT6,7686
23,ESO 111- G 014,34.99,0.8,99.5,39.8,IRAS,4,1997ApJS..109..333W,"MAT, I",00:08:18.7,-59:30:56.2,312.9,-56.8,SXT6,7686
24,NGC 0007,31.57,0.43,20.6,4.4,"Tully-Fisher, inv",1,1997ApJS..109..333W,"MAT, I",00:08:20.9,-29:54:53.6,14,-80.1,SBS5?/,1501
24,NGC 0007,31.62,0.43,21.1,4.5,"Tully-Fisher, raw",1,1997ApJS..109..333W,"MAT, I",00:08:20.9,-29:54:53.6,14,-80.1,SBS5?/,1501
24,NGC 0007,31.79,0.43,22.9,4.9,"Tully-Fisher, cor",1,1997ApJS..109..333W,"MAT, I",00:08:20.9,-29:54:53.6,14,-80.1,SBS5?/,1501
24,NGC 0007,31.43,0.8,19.3,7.7,IRAS,4,1997ApJS..109..333W,"MAT, I",00:08:20.9,-29:54:53.6,14,-80.1,SBS5?/,1501
25,NGC 0010,34.3,0.43,72.4,15.6,"Tully-Fisher, raw",1,1997ApJS..109..333W,"MAT, I",00:08:34.5,-33:51:30.0,354.2,-78.6,SXT4,6808
25,NGC 0010,34.66,0.43,85.6,18.4,"Tully-Fisher, cor",1,1997ApJS..109..333W,"MAT, I",00:08:34.5,-33:51:30.0,354.2,-78.6,SXT4,6808
25,NGC 0010,34.67,0.43,85.8,18.5,"Tully-Fisher, inv",1,1997ApJS..109..333W,"MAT, I",00:08:34.5,-33:51:30.0,354.2,-78.6,SXT4,6808
25,NGC 0010,34.69,0.8,86.7,34.7,IRAS,4,1997ApJS..109..333W,"MAT, I",00:08:34.5,-33:51:30.0,354.2,-78.6,SXT4,6808
26,NGC 0014,30.54,0.4,12.8,2.6,Tully-Fisher,1,1988NBGC.C....0000T,B,00:08:46.4,+15:48:56.0,108.1,-45.8,RIBS9P,1012
27,NGC 0013,33.72,0.38,55.6,10.6,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:08:47.7,+33:26:00.0,112.8,-28.6,RS..2*,4989
27,NGC 0013,33.94,0.38,61.4,11.7,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:08:47.7,+33:26:00.0,112.8,-28.6,RS..2*,4989
27,NGC 0013,34.01,0.38,63.4,12,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:08:47.7,+33:26:00.0,112.8,-28.6,RS..2*,4989
27,NGC 0013,33.95,0.8,61.6,24.6,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:08:47.7,+33:26:00.0,112.8,-28.6,RS..2*,4989
28,NGC 0009,32.74,0.38,35.4,6.7,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:08:54.7,+23:49:01.1,110.6,-38,S..3*P,4692
28,NGC 0009,32.85,0.38,37.2,7.1,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:08:54.7,+23:49:01.1,110.6,-38,S..3*P,4692
28,NGC 0009,33.28,0.38,45.3,8.6,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:08:54.7,+23:49:01.1,110.6,-38,S..3*P,4692
28,NGC 0009,33.75,0.8,56.2,22.5,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:08:54.7,+23:49:01.1,110.6,-38,S..3*P,4692
29,ESO 349- G 033,34.54,0.43,81.1,17.4,"Tully-Fisher, raw",1,1997ApJS..109..333W,"MAT, I",00:09:03.4,-32:54:50.9,358.1,-79.2,S?,6933
29,ESO 349- G 033,34.79,0.43,90.8,19.5,"Tully-Fisher, inv",1,1997ApJS..109..333W,"MAT, I",00:09:03.4,-32:54:50.9,358.1,-79.2,S?,6933
29,ESO 349- G 033,34.88,0.43,94.4,20.3,"Tully-Fisher, cor",1,1997ApJS..109..333W,"MAT, I",00:09:03.4,-32:54:50.9,358.1,-79.2,S?,6933
29,ESO 349- G 033,34.69,0.8,86.9,34.8,IRAS,4,1997ApJS..109..333W,"MAT, I",00:09:03.4,-32:54:50.9,358.1,-79.2,S?,6933
30,IC 1532,31.94,0.43,24.4,5.2,"Tully-Fisher, inv",1,1997ApJS..109..333W,"MAT, I",00:09:52.8,-64:22:19.5,310.2,-52.2,S..3./,1760
30,IC 1532,32,0.43,25.2,5.4,"Tully-Fisher, raw",1,1997ApJS..109..333W,"MAT, I",00:09:52.8,-64:22:19.5,310.2,-52.2,S..3./,1760
30,IC 1532,32.28,0.43,28.6,6.1,"Tully-Fisher, cor",1,1997ApJS..109..333W,"MAT, I",00:09:52.8,-64:22:19.5,310.2,-52.2,S..3./,1760
30,IC 1532,31.87,0.8,23.7,9.5,IRAS,4,1997ApJS..109..333W,"MAT, I",00:09:52.8,-64:22:19.5,310.2,-52.2,S..3./,1760
31,NGC 0023,33.75,0.38,56.2,10.7,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:09:53.4,+25:55:25.6,111.4,-36,SBS1,4733
31,NGC 0023,33.98,0.38,62.6,11.9,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:09:53.4,+25:55:25.6,111.4,-36,SBS1,4733
31,NGC 0023,34.06,0.38,65,12.3,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:09:53.4,+25:55:25.6,111.4,-36,SBS1,4733
31,NGC 0023,33.77,0.8,56.8,22.7,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:09:53.4,+25:55:25.6,111.4,-36,SBS1,4733
32,NGC 0024,29.17,0.4,6.8,1.4,Tully-Fisher,1,1988NBGC.C....0000T,B,00:09:56.5,-24:57:47.3,43.7,-80.4,SAS5,575
32,NGC 0024,29.2,0.43,6.9,1.5,"Tully-Fisher, inv",1,1997ApJS..109..333W,"MAT, I",00:09:56.5,-24:57:47.3,43.7,-80.4,SAS5,575
32,NGC 0024,29.23,0.43,7,1.5,"Tully-Fisher, raw",1,1997ApJS..109..333W,"MAT, I",00:09:56.5,-24:57:47.3,43.7,-80.4,SAS5,575
32,NGC 0024,29.52,0.43,8,1.7,"Tully-Fisher, cor",1,1997ApJS..109..333W,"MAT, I",00:09:56.5,-24:57:47.3,43.7,-80.4,SAS5,575
32,NGC 0024,29.65,0.47,8.5,2,"Tully-Fisher, inv",1,1997ApJS..109..333W,"A82, H",00:09:56.5,-24:57:47.3,43.7,-80.4,SAS5,575
32,NGC 0024,29.74,0.47,8.9,2.1,"Tully-Fisher, raw",1,1997ApJS..109..333W,"A82, H",00:09:56.5,-24:57:47.3,43.7,-80.4,SAS5,575
32,NGC 0024,30.15,0.47,10.7,2.5,"Tully-Fisher, cor",1,1997ApJS..109..333W,"A82, H",00:09:56.5,-24:57:47.3,43.7,-80.4,SAS5,575
32,NGC 0024,29.31,0.8,7.3,2.9,IRAS,4,1997ApJS..109..333W,"MAT, I",00:09:56.5,-24:57:47.3,43.7,-80.4,SAS5,575
32,NGC 0024,29.37,0.8,7.5,3,IRAS,4,1997ApJS..109..333W,"A82, H",00:09:56.5,-24:57:47.3,43.7,-80.4,SAS5,575
33,UGC 00091,35.22,0.38,110.7,21,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:10:03.0,+28:09:01.1,111.9,-33.8,S?,8388
33,UGC 00091,35.39,0.38,119.7,22.7,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:10:03.0,+28:09:01.1,111.9,-33.8,S?,8388
33,UGC 00091,35.4,0.38,120.1,22.8,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:10:03.0,+28:09:01.1,111.9,-33.8,S?,8388
33,UGC 00091,35.18,0.8,108.5,43.4,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:10:03.0,+28:09:01.1,111.9,-33.8,S?,8388
34,UGCA 003,31.43,0.8,19.3,7.7,Tully est,2,1988NBGC.C....0000T,,00:10:17.8,-18:15:50.7,73.9,-77,IBS9,1589
35,ESO 241- G 021,34.07,0.43,65.3,14,"Tully-Fisher, raw",1,1997ApJS..109..333W,"MAT, I",00:10:19.9,-46:25:09.9,323.1,-69.1,PSBS3*,6033
35,ESO 241- G 021,34.37,0.43,74.7,16.1,"Tully-Fisher, inv",1,1997ApJS..109..333W,"MAT, I",00:10:19.9,-46:25:09.9,323.1,-69.1,PSBS3*,6033
35,ESO 241- G 021,34.45,0.43,77.5,16.7,"Tully-Fisher, cor",1,1997ApJS..109..333W,"MAT, I",00:10:19.9,-46:25:09.9,323.1,-69.1,PSBS3*,6033
35,ESO 241- G 021,34.4,0.8,75.7,30.3,IRAS,4,1997ApJS..109..333W,"MAT, I",00:10:19.9,-46:25:09.9,323.1,-69.1,PSBS3*,6033
36,NGC 0026,33.78,0.38,57.1,10.8,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:10:25.9,+25:49:54.6,111.5,-36.1,SAT2,4757
36,NGC 0026,33.93,0.38,61,11.6,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:10:25.9,+25:49:54.6,111.5,-36.1,SAT2,4757
36,NGC 0026,34.01,0.38,63.4,12.1,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:10:25.9,+25:49:54.6,111.5,-36.1,SAT2,4757
36,NGC 0026,33.8,0.8,57.5,23,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:10:25.9,+25:49:54.6,111.5,-36.1,SAT2,4757
37,UGC 00095,35.53,0.38,127.6,24.2,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:10:26.4,+28:59:16.6,112.2,-33,S..6*,8024
37,UGC 00095,35.72,0.38,139.2,26.5,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:10:26.4,+28:59:16.6,112.2,-33,S..6*,8024
37,UGC 00095,35.73,0.38,140.2,26.6,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:10:26.4,+28:59:16.6,112.2,-33,S..6*,8024
37,UGC 00095,35.09,0.8,104,41.6,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:10:26.4,+28:59:16.6,112.2,-33,S..6*,8024
38,NGC 0027,34.57,0.4,82.2,16.4,"Tully-Fisher, raw",1,1997ApJS..109..333W,"HMCL, I",00:10:32.8,+28:59:46.5,112.3,-33,S?,7208
38,NGC 0027,34.65,0.38,85.1,16.2,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:10:32.8,+28:59:46.5,112.3,-33,S?,7208
38,NGC 0027,34.79,0.4,90.7,18.1,"Tully-Fisher, cor",1,1997ApJS..109..333W,"HMCL, I",00:10:32.8,+28:59:46.5,112.3,-33,S?,7208
38,NGC 0027,34.8,0.4,91.2,18.2,"Tully-Fisher, inv",1,1997ApJS..109..333W,"HMCL, I",00:10:32.8,+28:59:46.5,112.3,-33,S?,7208
38,NGC 0027,34.84,0.38,92.8,17.6,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:10:32.8,+28:59:46.5,112.3,-33,S?,7208
38,NGC 0027,34.87,0.38,94.3,17.9,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:10:32.8,+28:59:46.5,112.3,-33,S?,7208
38,NGC 0027,34.86,0.8,93.6,37.5,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:10:32.8,+28:59:46.5,112.3,-33,S?,7208
38,NGC 0027,34.86,0.8,93.6,37.5,IRAS,4,1997ApJS..109..333W,"HMCL, I",00:10:32.8,+28:59:46.5,112.3,-33,S?,7208
39,NGC 0019,33.77,0.38,56.8,10.8,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:10:40.9,+32:58:59.1,113.1,-29.1,SBR4,5039
39,NGC 0019,33.88,0.38,59.7,11.3,"Tully-Fisher, inv",1,1997ApJS..109..333W,"W91PP, r",00:10:40.9,+32:58:59.1,113.1,-29.1,SBR4,5039
39,NGC 0019,34.04,0.38,64.2,12.2,"Tully-Fisher, cor",1,1997ApJS..109..333W,"W91PP, r",00:10:40.9,+32:58:59.1,113.1,-29.1,SBR4,5039
39,NGC 0019,33.94,0.8,61.3,24.5,IRAS,4,1997ApJS..109..333W,"W91PP, r",00:10:40.9,+32:58:59.1,113.1,-29.1,SBR4,5039
40,UGC 00099,31.87,0.8,23.7,9.5,Tully est,2,1988NBGC.C....0000T,,00:10:40.9,+13:42:33.0,108.1,-48,S..9,1882
41,NGC 0021,34.04,0.38,64.2,12.2,"Tully-Fisher, raw",1,1997ApJS..109..333W,"W91PP, r",00:10:46.9,+33:21:10.2,113.3,-28.8,SXS4*,4769
